punk_id,txn_num
2101.0,1
2102.0,6
2105.0,1
2106.0,3
2108.0,3
2109.0,1
2110.0,2
2111.0,4
2112.0,2
2113.0,5
2115.0,1
2116.0,1
2117.0,1
2119.0,1
2122.0,1
2124.0,1
2125.0,4
2126.0,6
2127.0,5
2128.0,7
2129.0,3
2130.0,1
2131.0,1
2132.0,1
2134.0,1
2135.0,6
2136.0,4
2138.0,1
2139.0,3
2140.0,3
2141.0,2
2142.0,3
2144.0,1
2146.0,1
2147.0,1
2149.0,2
2150.0,5
2151.0,3
2152.0,1
2153.0,3
2154.0,3
2155.0,1
2156.0,5
2158.0,4
2160.0,4
2161.0,2
2163.0,2
2165.0,1
2167.0,1
2168.0,5
2170.0,1
2172.0,3
2173.0,3
2174.0,1
2175.0,3
2179.0,1
2180.0,1
2181.0,1
2182.0,3
2184.0,3
2188.0,3
2190.0,2
2191.0,2
2193.0,2
2194.0,4
2196.0,2
2197.0,1
2198.0,1
2200.0,3
2202.0,2
2205.0,3
2209.0,5
2210.0,4
2212.0,5
2213.0,3
2215.0,1
2217.0,1
2220.0,4
2221.0,5
2222.0,6
2223.0,8
2225.0,1
2227.0,4
2228.0,3
2229.0,1
2231.0,2
2232.0,1
2233.0,3
2235.0,4
2236.0,4
2237.0,2
2238.0,10
2239.0,1
2241.0,3
2245.0,3
2246.0,1
2248.0,5
2249.0,4
2250.0,2
2253.0,4
2254.0,1
2256.0,1
2257.0,6
2259.0,2
2260.0,1
2261.0,3
2263.0,5
2264.0,1
2267.0,1
2268.0,2
2269.0,1
2270.0,1
2271.0,1
2275.0,2
2276.0,2
2277.0,1
2279.0,2
2281.0,4
2282.0,1
2286.0,5
2287.0,3
2289.0,2
2290.0,4
2291.0,3
2292.0,3
2294.0,2
2296.0,1
2297.0,4
2301.0,1
2304.0,1
2306.0,2
2307.0,1
2308.0,6
2309.0,2
2310.0,7
2311.0,2
2313.0,4
2314.0,4
2315.0,3
2317.0,6
2319.0,1
2320.0,4
2321.0,5
2322.0,1
2323.0,1
2324.0,1
2325.0,2
2326.0,4
2327.0,6
2328.0,4
2329.0,6
2331.0,1
2332.0,1
2333.0,3
2335.0,1
2336.0,3
2337.0,1
2339.0,2
2340.0,2
2342.0,4
2343.0,4
2344.0,1
2346.0,1
2347.0,8
2348.0,5
2349.0,1
2350.0,3
2352.0,1
2353.0,3
2354.0,11
2355.0,1
2358.0,3
2363.0,2
2365.0,1
2366.0,4
2367.0,4
2368.0,1
2369.0,1
2370.0,1
2374.0,4
2376.0,5
2377.0,5
2378.0,4
2379.0,7
2381.0,3
2382.0,6
2384.0,1
2386.0,3
2387.0,1
2388.0,2
2389.0,4
2390.0,8
2392.0,4
2393.0,1
2394.0,3
2395.0,1
2396.0,2
2397.0,5
2398.0,4
2401.0,1
2402.0,2
2404.0,4
2405.0,7
2406.0,5
2407.0,3
2408.0,5
2409.0,2
2412.0,1
2414.0,4
2417.0,4
2418.0,1
2420.0,2
2421.0,4
2423.0,2
2425.0,1
2426.0,4
2427.0,1
2429.0,3
2430.0,5
2433.0,1
2435.0,3
2438.0,3
2440.0,9
2441.0,2
2442.0,1
2443.0,3
2445.0,2
2446.0,1
2447.0,3
2448.0,1
2450.0,8
2452.0,5
2453.0,1
2455.0,1
2456.0,1
2457.0,7
2458.0,8
2461.0,1
2464.0,3
2466.0,2
2467.0,1
2469.0,7
2470.0,1
2471.0,4
2472.0,1
2473.0,3
2476.0,6
2477.0,1
2478.0,2
2480.0,5
2481.0,8
2482.0,2
2483.0,5
2484.0,4
2486.0,4
2488.0,4
2490.0,5
2492.0,1
2493.0,2
2497.0,1
2498.0,3
2499.0,2
2501.0,7
2502.0,6
2504.0,2
2505.0,2
2506.0,2
2508.0,1
2514.0,1
2517.0,1
2520.0,1
2521.0,1
2522.0,6
2523.0,3
2524.0,7
2526.0,1
2529.0,3
2531.0,2
2533.0,1
2535.0,3
2537.0,2
2538.0,1
2539.0,3
2540.0,2
2541.0,2
2542.0,8
2543.0,1
2544.0,3
2546.0,3
2547.0,1
2548.0,2
2549.0,1
2550.0,5
2551.0,1
2552.0,1
2553.0,3
2554.0,1
2555.0,1
2556.0,3
2557.0,5
2558.0,3
2560.0,1
2562.0,1
2563.0,1
2564.0,1
2567.0,1
2568.0,4
2569.0,2
2570.0,4
2571.0,1
2572.0,6
2574.0,1
2575.0,2
2576.0,1
2577.0,5
2578.0,1
2579.0,2
2580.0,3
2581.0,7
2582.0,2
2584.0,4
2586.0,4
2587.0,2
2588.0,2
2589.0,4
2590.0,1
2591.0,2
2592.0,3
2593.0,2
2594.0,1
2595.0,4
2597.0,1
2598.0,2
2599.0,2
2602.0,1
2603.0,3
2604.0,1
2605.0,1
2606.0,1
2607.0,2
2609.0,4
2612.0,2
2616.0,4
2619.0,5
2621.0,2
2622.0,1
2624.0,4
2626.0,2
2627.0,1
2628.0,1
2631.0,4
2632.0,4
2633.0,3
2634.0,6
2635.0,3
2636.0,5
2637.0,3
2639.0,2
2640.0,2
2641.0,5
2645.0,2
2647.0,5
2648.0,5
2652.0,5
2653.0,4
2654.0,6
2655.0,1
2656.0,1
2659.0,4
2660.0,2
2661.0,5
2663.0,1
2665.0,1
2666.0,1
2667.0,1
2668.0,3
2669.0,6
2670.0,3
2671.0,3
2672.0,7
2673.0,7
2674.0,4
2675.0,1
2677.0,5
2679.0,3
2681.0,3
2683.0,3
2684.0,5
2685.0,1
2686.0,3
2688.0,7
2689.0,3
2690.0,1
2691.0,1
2693.0,1
2694.0,1
2695.0,3
2697.0,1
2698.0,2
2699.0,4
2702.0,2
2707.0,2
2708.0,1
2709.0,1
2710.0,1
2711.0,1
2712.0,1
2713.0,6
2714.0,7
2715.0,4
2716.0,1
2719.0,3
2720.0,3
2721.0,5
2722.0,1
2723.0,1
2724.0,4
2726.0,2
2727.0,1
2728.0,3
2729.0,3
2730.0,3
2731.0,1
2732.0,1
2733.0,3
2735.0,3
2736.0,1
2738.0,6
2739.0,1
2740.0,1
2742.0,1
2744.0,4
2745.0,2
2746.0,2
2749.0,2
2750.0,3
2752.0,2
2753.0,3
2754.0,1
2758.0,4
2759.0,1
2760.0,5
2761.0,3
2762.0,5
2763.0,1
2764.0,1
2765.0,1
2766.0,2
2767.0,4
2768.0,2
2769.0,2
2770.0,4
2771.0,5
2772.0,3
2773.0,6
2774.0,4
2777.0,5
2778.0,2
